0,Tokyo,35.689500,139.691710,0.000000,-3954843.592378,3354935.154958,3700263.820217
1,Delhi,28.666670,77.216670,0.000000,1239227.233093,5461834.040626,3041536.573362
2,Shanghai,31.222220,121.458060,0.000000,-2849046.996683,4656870.262308,3286986.751947
3,São-Paulo,-23.547500,-46.636110,0.000000,4016884.413346,-4253102.280352,-2532418.944537
4,Mumbai-(Bombay),19.073975,72.880838,0.000000,1775024.409639,5762948.394748,2071089.571952
5,Ciudad-de-México-(Mexico-City),19.427318,-99.141869,0.000000,-956013.259084,-5940788.312317,2108015.826874
6,Beijing,39.907500,116.397230,0.000000,-2178189.628682,4388467.259356,4070111.420547
7,Kinki-M.M.A.-(Osaka),34.675834,135.553823,0.000000,-3748711.554631,3676932.782387,3608349.262864
8,Al-Qahirah-(Cairo),30.039173,31.239411,0.000000,4724843.145927,2865910.587720,3174132.831160
9,New-York-Newark,40.717042,-74.003663,0.000000,1334103.172127,-4653693.528901,4138656.197504
